feature type = k=10, feature = telephone, log-likelihood score = 3.95124, sense = phone
feature type = +1 & +2, feature = but many, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = increase ever, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = said richard, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = used in, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = and 48, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = of aircraft, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = and i, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = made by, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = of deluxe, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = was that, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = recently got, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = of millionaire's, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = and has, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = through dec, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = of software, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = of cherubic, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = showed an, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = for its, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = such as, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = yesterday possibly, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = first as, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = at chevrolet, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = was secure, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = of oversize, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = by 2, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = and swore, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = to kraft, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = into a, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = the worst, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = will continue, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = while mr, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = and public, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = of precision, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = let's call, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = light up, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = to their, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = the poorest, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = from monteil, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = wouldn't still, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = and one, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = over cellular, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = of clothing, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = but no, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = ranging from, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = is aimed, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = were hurt, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = of more, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = with its, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = fuqua remarks, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = of pdp, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = of limited, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = that dozens, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = elizabeth taylor's, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = will be, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = called soap, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = which rose, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = this fall, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = and conduct, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = and involving, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = grew 2, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = but they, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = he asked, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = grew 3, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = products sold, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = particularly in, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = and the, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = is capable, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = of plush, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = under its, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = just to, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = are expected, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = and i'll, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = no doubt, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = charges and, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = that it, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = and in, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = were allegedly, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = once talked, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = dialed homicide, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = proprietors megaquest, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = and leaves, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = open for, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = could draw, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = are well, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = of high, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = from the, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = in britain, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = to his, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = but declined, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = had sales, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = of minicomputers, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = from crystal, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = to a, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = between them, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = or that, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = which has, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = if he, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = its satellite, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = where fashionability, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = to record, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = built around, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = of auto, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = i've heard, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = of men's, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = to about, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = and that, log-likelihood score = 0.69315, sense = product
feature type = +1 & +2, feature = were jammed, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = growth by, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = were out, log-likelihood score = 0.69315, sense = phone
feature type = +1 & +2, feature = pacing the, log-likelihood score = 0.69315, sense = product
